55,21,17,40,14,3,10,8,14,72,41,28,14,14,10,2,2,5,37,25,100,122,63,72,4,0,5,12,5,6,1,6,4,0,0,8,7,22
56,20,39,65,39,4,3,4,30,77,25,7,6,7,1,2,0,6,37,20,92,97,61,59,9,4,6,1,2,3,2,4,1,0,12,11,16,33
57,27,44,66,23,6,10,10,39,81,32,28,16,16,2,7,0,4,16,33,111,136,91,52,7,2,4,4,1,12,0,7,0,0,7,8,5,36
58,54,32,82,47,8,12,17,45,111,32,14,10,12,2,2,3,3,41,54,112,154,58,34,7,2,3,2,0,0,0,0,0,0,24,5,6,26
59,54,40,83,47,17,14,9,57,101,44,24,26,16,8,3,0,9,31,27,128,155,61,45,8,4,3,5,3,2,0,0,1,1,13,9,4,39
60,64,52,123,42,14,3,9,19,136,57,41,30,23,2,1,3,11,65,41,106,132,87,80,8,4,9,9,2,1,0,0,0,1,25,15,15,42
61,43,40,74,39,11,13,13,30,106,35,35,16,15,1,12,0,11,65,63,140,187,90,51,15,5,8,4,2,11,7,2,1,0,13,9,20,52
62,58,47,85,37,18,12,11,36,120,67,30,29,12,3,13,0,26,51,65,142,171,80,62,11,3,8,6,4,8,2,0,0,0,15,11,13,51
63,85,55,159,31,17,16,20,41,163,66,45,26,17,4,5,0,16,46,32,139,139,116,72,12,9,4,9,1,6,8,4,1,1,19,24,14,45
64,61,69,123,74,14,9,14,42,135,49,35,53,41,10,8,3,10,45,42,166,196,63,52,6,0,3,17,4,10,0,1,0,0,6,7,14,52
65,43,53,134,49,17,14,11,42,167,78,42,48,15,3,13,1,10,39,70,201,205,102,85,6,10,5,9,2,8,1,0,0,0,6,12,12,67
66,66,57,126,54,12,11,10,64,185,58,50,52,33,7,4,0,12,44,42,123,198,113,65,9,5,3,19,10,9,2,0,0,0,14,18,14,36
67,63,46,123,66,20,10,23,68,124,66,30,29,22,3,3,1,14,43,43,184,153,130,81,9,2,5,4,1,7,1,1,2,0,16,28,13,55
68,88,61,147,61,15,24,20,37,138,80,57,45,21,0,0,0,13,33,65,159,208,79,81,14,10,6,16,4,10,6,1,3,0,16,6,10,46
69,65,54,135,67,14,5,16,55,91,89,57,45,25,9,9,0,11,47,58,129,197,63,77,9,0,2,15,2,5,1,2,1,4,24,23,8,41
70,62,68,124,48,10,5,10,59,112,61,30,29,24,2,2,2,4,34,63,172,237,71,55,5,2,5,7,0,5,0,0,1,0,6,17,6,56
71,57,37,131,68,11,12,15,50,128,74,50,42,32,6,8,0,5,29,59,182,226,108,60,9,10,9,8,5,11,1,0,0,0,5,3,15,57
72,69,74,94,48,8,11,23,51,174,82,47,27,21,5,2,1,17,47,60,184,264,66,61,6,8,12,8,3,9,0,0,1,0,16,8,15,70
73,56,71,115,38,7,13,16,28,121,96,67,44,8,12,7,4,17,32,35,112,189,59,90,12,6,4,5,2,8,3,4,0,0,19,15,8,37
74,40,48,89,35,3,13,14,67,89,80,52,27,15,5,7,1,13,70,36,100,170,105,96,10,3,3,7,2,10,0,1,0,0,14,10,8,47
75,68,70,102,43,7,21,8,66,160,87,50,60,20,0,3,2,9,51,42,121,210,100,81,17,10,8,24,0,3,0,3,1,2,9,0,3,45
76,65,69,148,47,14,13,18,59,194,85,67,40,26,6,1,0,13,40,52,142,199,104,77,11,10,6,10,3,7,1,0,3,2,12,9,8,51
77,101,37,128,38,16,22,17,69,201,81,54,39,33,9,3,1,17,57,57,119,215,104,83,9,6,4,5,2,10,3,1,1,0,26,5,9,45
78,112,74,156,60,14,22,20,55,226,113,78,59,25,0,5,4,20,63,50,138,202,116,96,11,12,6,17,2,4,7,2,2,0,28,13,14,47
79,95,69,141,42,17,14,22,59,158,94,78,40,18,10,6,1,19,52,69,137,275,104,78,7,4,9,7,8,10,1,2,1,1,13,10,10,36
